trial,english_target,nonword_target,related_prime_english,unrelated_prime_english,related_prime_french,unrelated_prime_french
1,dog,mip,cat,leaf,chat,feuille
2,queen,lath,king,stone,roi,pierre
3,pepper,noster,salt,glass,sel,verre
4,sun,vib,moon,plug,lune,prise
5,thread,keld,needle,key,aiguille,clé
6,nail,rone,hammer,tea,marteau,thé
7,cold,tas,hot,happy,chaud,bonheur
8,paper,juren,pen,pill,stylo,pillule
9,tree,zol,flower,paint,fleur,peinture
10,umbrella,famber,rain,chip,pluie,puce
11,fork,gup,knife,bank,couteau,banque
12,glove,dreen,hand,fence,main,barrière
13,belt,sarn,buckle,moss,boucle,mousse
14,rope,vilk,knot,tile,nœud,carreau
15,hat,pem,beanie,fern,bonnet,fougère
16,shirt,lodem,pants,brick,pantalon,brique
17,sword,chesk,shield,pond,bouclier,étang
18,clay,vope,mud,baton,boue,bâton
19,garden,nactil,park,coin,parc,pièce
20,hair,zib,eyebrow,drum,sourcil,tambour
